,Institute_id,Name,No. of MaleStudents,No. of Female Students,Total Students,Within State (Including male & female),Outside State(Including male & female),Outside Country (Including male & female),Economically Backward (Including male & female),Socially Challenged (SC+ST+OBC Including male & female),No. of students receiving full tuition fee reimbursement from the State and Central Government,No. of students receiving full tuition fee reimbursement from Institution Funds,No. of students receiving full tuition fee reimbursement from the Private Bodies,No. of students who are not receiving full tuition fee reimbursement
89,IR-E-C-41593,Coimbatore Institute of Technology,2123,704,2827,795,2023,9,98,634,51,104,0,577
90,IR-E-U-0189,Siddaganga Institute of Technology,3580,1513,5093,4901,192,0,1691,3088,318,33,11,4417
91,IR-E-U-0099,National Institute of Technology Patna,5061,1071,6132,800,5312,20,121,917,1,0,5,1032
92,IR-E-U-0382,C.V. Raman Global University,2241,541,2782,1292,1487,3,808,1745,925,932,231,465
93,IR-E-U-0389,PES University,6718,1137,7855,808,6856,191,1456,3348,0,3025,0,1779
94,IR-E-U-0105,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,3144,873,4017,2284,1733,0,1064,278,0,0,0,1342
95,IR-E-C-6581,Jaypee Institute of Information Technology,1878,798,2676,2604,72,0,257,1373,965,99,63,503
96,IR-E-C-19534,University College of Engineering,1983,1046,3029,168,2858,3,1651,491,499,565,43,1035
97,IR-E-U-0376,National Institute of Technology Hamirpur,1231,335,1566,941,611,14,207,116,22,114,0,187
98,IR-E-U-0043,Bharati Vidyapeeth Deemed University College of Engineering,3519,1454,4973,3586,967,420,471,1206,756,0,160,761
99,IR-E-U-0445,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,1897,377,2274,1122,1135,17,95,1137,893,0,0,339
